Topic,Category,Title,Url,Author,Date
Thời sự,Chính trị,Ông Tôn Thiện Đồng làm Bí thư Thành ủy Bảo Lộc,https://vietnamnet.vn/ong-ton-thien-dong-lam-bi-thu-thanh-uy-bao-loc-2078781.html,Xuân Ngọc ,"
                            09/11/2022   14:20 (GMT+07:00)
                        "
Thời sự,Chính trị,Thông qua Luật sửa đổi một số điều của Luật Tần số vô tuyến điện,https://vietnamnet.vn/quoc-hoi-thong-qua-luat-tan-so-vo-tuyen-dien-2078779.html,Trần Thường,"
                            09/11/2022   14:58 (GMT+07:00)
                        "
Thời sự,Chính trị,"Đổi mới, nâng cao năng lực định hướng, hiệu quả tuyên truyền báo, tạp chí của Đảng",https://vietnamnet.vn/nang-cao-nang-luc-dinh-huong-hieu-qua-tuyen-truyen-bao-tap-chi-cua-dang-2078966.html,Hoài Anh,"
                            09/11/2022   23:16 (GMT+07:00)
                        "
Thời sự,Chính trị,"Thủ tướng: Gỡ vướng về địa vị pháp lý, không để đồng bào Khmer gốc Việt cô đơn",https://vietnamnet.vn/thu-tuong-thao-go-dia-vi-phap-ly-khong-de-dong-bao-khmer-goc-viet-co-don-2078881.html,,"
                            09/11/2022   21:08 (GMT+07:00)
                        "
Thời sự,Chính trị,Khoảng 100 văn kiện sẽ được trình lên Hội nghị cấp cao ASEAN,https://vietnamnet.vn/khoang-100-van-kien-se-duoc-trinh-len-trong-hoi-nghi-cap-cao-asean-2078968.html,Trần Thường,"
                            09/11/2022   23:20 (GMT+07:00)
                        "
Thời sự,Chính trị,Bộ trưởng Hồ Đức Phớc nói lý do chưa bỏ Quỹ bình ổn giá xăng dầu,https://vietnamnet.vn/bo-truong-tai-chinh-noi-ly-do-chua-bo-quy-binh-on-gia-xang-dau-2078960.html,Trần Thường,"
                            10/11/2022   09:21 (GMT+07:00)
                        "
Thời sự,,‘Đứng tim’ với những chiếc xe ben không dừng đèn đỏ ở Hà Nội,https://vietnamnet.vn/dung-tim-voi-nhung-chiec-xe-ben-khong-dung-den-do-o-ha-noi-2068317.html,Đình Hiếu,"
                            10/10/2022   07:28 (GMT+07:00)
                        "
Thời sự,Chính trị,Thành lập Ban Thanh tra nhân dân không chồng chéo với công đoàn cơ sở,https://vietnamnet.vn/thanh-lap-ban-thanh-tra-nhan-dan-khong-chong-cheo-voi-cong-doan-co-so-2078971.html,Công Sáng,"
                            10/11/2022   05:01 (GMT+07:00)
                        "
Thời sự,Chính trị,Chủ tịch nước Nguyễn Xuân Phúc sắp thăm Thái Lan và dự hội nghị cấp cao APEC,https://vietnamnet.vn/chu-tich-nuoc-nguyen-xuan-phuc-sap-tham-thai-lan-va-du-hoi-nghi-cap-cao-apec-2079328.html,Trần Thường,"
                            11/11/2022   08:03 (GMT+07:00)
                        "
Thời sự,,"Đường Nguyễn Trãi kín phương tiện, xe máy hỗn loạn lao trên vỉa hè",https://vietnamnet.vn/duong-nguyen-trai-un-tac-keo-dai-xe-may-hon-loan-lao-tren-via-he-2068411.html,Đình Hiếu,"
                            10/10/2022   10:04 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Trình phương án khắc phục cầu vượt Nguyễn Hữu Cảnh trong 45 ngày,https://vietnamnet.vn/trinh-phuong-an-khac-phuc-cau-vuot-nguyen-huu-canh-trong-45-ngay-2068496.html,Tuấn Kiệt,"
                            10/10/2022   13:34 (GMT+07:00)
                        "
Thời sự,Chính trị,Đại biểu Quốc hội đề xuất giá khởi điểm biển số ô tô đẹp 200 triệu,https://vietnamnet.vn/de-xuat-gia-khoi-diem-200-trieu-dong-voi-bien-so-dep-2078001.html,Trần Thường,"
                            07/11/2022   13:36 (GMT+07:00)
                        "
Thời sự,Chính trị,Bộ trưởng TT&TT: Mỗi người dân có tài khoản đào tạo số cả đời là ý tưởng hay,https://vietnamnet.vn/bo-truong-tt-tt-nguyen-manh-hung-tra-loi-nhieu-van-de-nong-truoc-quoc-hoi-2077084.html,,"
                            04/11/2022   08:46 (GMT+07:00)
                        "
Thời sự,Chính trị,Nên ấn định mức lãi đối với loại hàng cần bình ổn giá,https://vietnamnet.vn/de-nghi-bo-quy-binh-on-gia-xang-dau-2078174.html,Trần Thường,"
                            07/11/2022   18:38 (GMT+07:00)
                        "
Thời sự,Chính trị,Xung lực mới từ chuyến thăm Campuchia của Thủ tướng Phạm Minh Chính,https://vietnamnet.vn/xung-luc-moi-tu-chuyen-tham-campuchia-cua-thu-tuong-pham-minh-chinh-2078055.html,Thu Hằng,"
                            07/11/2022   14:08 (GMT+07:00)
                        "
Thời sự,Chính trị,Bộ trưởng Công an: Kiến nghị Quốc hội bổ sung nơi sinh vào hộ chiếu mẫu mới,https://vietnamnet.vn/bo-truong-cong-an-kien-nghi-quoc-hoi-bo-sung-noi-sinh-tren-ho-chieu-mau-moi-2077926.html,Trần Thường,"
                            07/11/2022   10:30 (GMT+07:00)
                        "
Thời sự,Chính trị,Chủ tịch nước Nguyễn Xuân Phúc nhận huy hiệu 40 năm tuổi Đảng,https://vietnamnet.vn/chu-tich-nuoc-nguyen-xuan-phuc-nhan-huy-hieu-40-nam-tuoi-dang-2078194.html,Trần Thường,"
                            07/11/2022   19:51 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Vụ tàu vào ga Sài Gòn dừng khẩn: Lộ bất cập đóng gác chắn đường ngang,https://vietnamnet.vn/vu-tau-vao-ga-sai-gon-dung-khan-lo-bat-cap-dong-gac-chan-duong-ngang-2068223.html,Tuấn Kiệt,"
                            10/10/2022   06:10 (GMT+07:00)
                        "
Thời sự,Chính trị,Thủ tướng thăm chính thức Campuchia,https://vietnamnet.vn/thu-tuong-pham-minh-chinh-len-duong-tham-chinh-thuc-campuchia-2078247.html,Thu Hằng,"
                            08/11/2022   06:00 (GMT+07:00)
                        "
Thời sự,Chính trị,Những dấu ấn trong quan hệ Việt Nam - Campuchia,https://vietnamnet.vn/nhung-dau-an-trong-quan-he-viet-nam-campuchia-2078298.html,Thu Hằng,"
                            08/11/2022   09:11 (GMT+07:00)
                        "
Thời sự,Chính trị,Hoạt động đầu tiên của Thủ tướng Phạm Minh Chính tại Phnom Penh,https://vietnamnet.vn/nhung-hoat-dong-dau-tien-cua-thu-tuong-pham-minh-chinh-tai-phnom-penh-2078350.html,,"
                            08/11/2022   11:43 (GMT+07:00)
                        "
Thời sự,Chính trị,Thủ tướng Hun Sen chủ trì lễ đón Thủ tướng Phạm Minh Chính,https://vietnamnet.vn/thu-tuong-hun-sen-chu-tri-le-don-thu-tuong-pham-minh-chinh-2078383.html,,"
                            08/11/2022   12:04 (GMT+07:00)
                        "
Thời sự,Chính trị,"'Nhiều cán bộ là tội phạm kinh tế, chức vụ nhưng không có yếu tố vụ lợi'",https://vietnamnet.vn/nhieu-can-bo-la-toi-pham-kinh-te-chuc-vu-nhung-khong-co-yeu-to-vu-loi-2078323.html,Quang Phong,"
                            08/11/2022   10:27 (GMT+07:00)
                        "
Thời sự,Chính trị,Tổng Bí thư thăm Trung Quốc: Quan hệ hai nước sẽ tiến thêm một bước mới,https://vietnamnet.vn/tong-bi-thu-tham-trung-quoc-quan-he-tien-them-mot-buoc-moi-phu-hop-loi-ich-2075048.html,Trần Thường,"
                            31/10/2022   06:00 (GMT+07:00)
                        "
Thời sự,Chính trị,"Ngoại trưởng Hàn Quốc đau đớn, chia buồn về người Việt thiệt mạng ở Itaewon",https://vietnamnet.vn/bo-truong-ngoai-giao-han-quoc-chia-buon-ve-nguoi-viet-thiet-mang-o-itaewon-2075526.html,Trần Thường,"
                            31/10/2022   09:42 (GMT+07:00)
                        "
Thời sự,Chính trị,Bí thư TP.HCM khám phá tour du lịch 'Ký ức Biệt động Sài Gòn',https://vietnamnet.vn/bi-thu-tp-hcm-kham-pha-tour-du-lich-ky-uc-biet-dong-sai-gon-2075400.html,,"
                            30/10/2022   18:06 (GMT+07:00)
                        "
Thời sự,Chính trị,'Hồ Chí Minh - Hành trình khát vọng 2022': Tôn vinh những tấm gương tận hiến vì dân,https://vietnamnet.vn/ho-chi-minh-hanh-trinh-khat-vong-ton-vinh-nhung-tam-guong-tan-hien-vi-dan-2075441.html,,"
                            31/10/2022   00:01 (GMT+07:00)
                        "
Thời sự,Chính trị,"25.617 công chức, viên chức thôi việc có tuổi từ 40 trở xuống",https://vietnamnet.vn/25-617-cong-chuc-vien-chuc-thoi-viec-co-tuoi-tu-40-tro-xuong-2075623.html,Thu Hằng,"
                            31/10/2022   12:16 (GMT+07:00)
                        "
Thời sự,Chính trị,Đại biểu Quốc hội đề nghị khắc phục thực trạng lãng phí trách nhiệm,https://vietnamnet.vn/dai-bieu-quoc-hoi-de-nghi-khac-phuc-thuc-trang-lang-phi-trach-nhiem-2075608.html,,"
                            31/10/2022   12:29 (GMT+07:00)
                        "
Thời sự,,"Xe đạp điện chở 3 lao xuống suối, một học sinh tử vong",https://vietnamnet.vn/xe-dap-dien-cho-3-lao-xuong-suoi-mot-hoc-sinh-tu-vong-o-nghe-an-2063048.html,,"
                            23/09/2022   11:11 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Gần 14.000 tỷ mở rộng cao tốc TP.HCM - Long Thành - Dầu Giây lên 8 làn xe,https://vietnamnet.vn/gan-14-000-ty-dong-mo-rong-cao-toc-tp-hcm-long-thanh-dau-giay-len-8-lan-xe-2062898.html,Tuấn Kiệt,"
                            22/09/2022   21:08 (GMT+07:00)
                        "
Thời sự,,Đổi bằng lái xe trực tuyến cấp độ 4 sẽ loại bỏ dùng giấy khám sức khoẻ giả,https://vietnamnet.vn/doi-bang-lai-xe-truc-tuyen-cap-do-4-se-loai-bo-dung-giay-kham-suc-khoe-gia-2062927.html,Vũ Điệp,"
                            23/09/2022   05:13 (GMT+07:00)
                        "
Thời sự,,"Ô tô liên tục gặp sự cố, hé lộ một phần nguyên nhân ùn tắc Vành đai 3 trên cao",https://vietnamnet.vn/o-to-lien-tuc-gap-su-co-he-lo-mot-phan-nguyen-nhan-un-tac-vanh-dai-3-tren-cao-2063095.html,Đình Hiếu,"
                            23/09/2022   13:13 (GMT+07:00)
                        "
Thời sự,,"Tai nạn liên hoàn trên đường Vành đai 3, xe tải trèo lên ô tô con",https://vietnamnet.vn/tai-nan-lien-hoan-tren-duong-vanh-dai-3-xe-tai-treo-len-o-to-con-2063174.html,Đình Hiếu,"
                            23/09/2022   16:10 (GMT+07:00)
                        "
Thời sự,Quốc hội,"Lo lương tăng 1 giá tăng 2, đại biểu mong điều chỉnh lương càng sớm càng tốt",https://vietnamnet.vn/lo-luong-tang-1-gia-tang-2-dai-bieu-mong-dieu-chinh-luong-cang-som-cang-tot-2074324.html,,"
                            27/10/2022   10:50 (GMT+07:00)
                        "
Thời sự,Chính trị,"Bác sĩ trăm công nghìn việc, lương chỉ 5 triệu khó nuôi dưỡng đam mê",https://vietnamnet.vn/bac-si-tram-cong-nghin-viec-luong-chi-5-trieu-dong-kho-nuoi-duong-dam-me-2074357.html,,"
                            27/10/2022   12:26 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Ùn tắc trước ‘nút thắt cổ chai’ ở trạm thu phí nhà xe Tân Sơn Nhất,https://vietnamnet.vn/un-tac-nut-that-co-chai-o-tram-thu-phi-nha-xe-tan-son-nhat-2060764.html,Tuấn Kiệt,"
                            17/09/2022   07:52 (GMT+07:00)
                        "
Thời sự,,"4 ô tô biển Quảng Ninh, che biển số ‘né’ phạt nguội trên cao tốc bị xử phạt",https://vietnamnet.vn/4-o-to-bien-quang-ninh-che-bien-so-ne-phat-nguoi-tren-cao-toc-bi-xu-phat-2061021.html,Đình Hiếu,"
                            17/09/2022   05:00 (GMT+07:00)
                        "
Thời sự,Chính trị,Tổng Bí thư Nguyễn Phú Trọng thăm Trung Quốc từ 30/10-2/11,https://vietnamnet.vn/tong-bi-thu-nguyen-phu-trong-tham-trung-quoc-tu-30-10-2-11-2073525.html,Trần Thường,"
                            25/10/2022   09:06 (GMT+07:00)
                        "
Thời sự,Chính trị,"Đại biểu Quốc hội: Thanh tra 6 năm không kết luận, ai chịu trách nhiệm?",https://vietnamnet.vn/dai-bieu-quoc-hoi-thanh-tra-6-nam-khong-ket-luan-ai-chiu-trach-nhiem-2073643.html,Quang Phong,"
                            25/10/2022   13:39 (GMT+07:00)
                        "
Thời sự,,"Toàn ô tô tiền tỷ dán che biển số, tài xế phân trần do thiếu hiểu biết",https://vietnamnet.vn/toan-o-to-tien-ty-dan-che-bien-so-tai-xe-phan-tran-do-thieu-hieu-biet-2061089.html,Đình Hiếu,"
                            17/09/2022   11:15 (GMT+07:00)
                        "
Thời sự,Chính trị,"Sửa Luật Giao dịch điện tử để đẩy mạnh chuyển đổi số, phát triển kinh tế số",https://vietnamnet.vn/sua-luat-giao-dich-dien-tu-de-day-manh-chuyen-doi-so-phat-trien-kinh-te-so-2073550.html,Quang Phong,"
                            25/10/2022   10:28 (GMT+07:00)
                        "
Thời sự,Chính trị,"Thủ tướng và 4 Bộ trưởng, trưởng ngành trả lời chất vấn vào tuần tới",https://vietnamnet.vn/thu-tuong-va-4-bo-truong-truong-nganh-ngoi-ghe-nong-quoc-hoi-2073777.html,Trần Thường,"
                            25/10/2022   17:53 (GMT+07:00)
                        "
Thời sự,Quốc hội,"3 Bộ trưởng giải trình về việc gần 40.000 công chức, viên chức nghỉ việc",https://vietnamnet.vn/118-dbqh-cho-phat-bieu-trong-phien-thao-luan-kinh-te-xa-hoi-2074397.html,,"
                            27/10/2022   13:50 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,"Bắt nhóm 'quái xế nhí' nẹt pô, rú ga gây náo loạn phố núi",https://vietnamnet.vn/bat-nhom-quai-xe-nhi-net-po-ru-ga-gay-nao-loan-pho-nui-2059126.html,Hương Lài,"
                            12/09/2022   11:41 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Xe buýt sân bay Tân Sơn Nhất đi trung tâm TP.HCM chính thức khai trương,https://vietnamnet.vn/xe-buyt-san-bay-tan-son-nhat-di-trung-tam-tp-hcm-chinh-thuc-khai-truong-2059078.html,Tuấn Kiệt,"
                            12/09/2022   10:36 (GMT+07:00)
                        "
Thời sự,Chính trị,"Người Việt Nam vẫn vẹn nguyên ký ức về bột mì, dầu ăn, sữa do Liên Hợp Quốc tài trợ",https://vietnamnet.vn/nguoi-viet-nam-ven-nguyen-ky-uc-ve-bot-mi-dau-an-sua-do-lien-hop-quoc-tai-tro-2072586.html,,"
                            21/10/2022   21:28 (GMT+07:00)
                        "
Thời sự,Chính trị,"Tân Bộ trưởng Y tế: Còn nhiều việc phải làm để vượt qua khó khăn, thử thách",https://vietnamnet.vn/bo-truong-dao-hong-lan-con-nhieu-viec-phai-lam-de-vuot-qua-kho-khan-thu-thach-2072558.html,Quang Phong,"
                            21/10/2022   18:58 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Cấm xe khách vào nội đô TP.HCM: Cần cách làm không xáo trộn đi lại của dân,https://vietnamnet.vn/cam-xe-khach-vao-noi-do-tp-hcm-can-cach-lam-khong-xao-tron-di-lai-cua-dan-2054353.html,Tuấn Kiệt,"
                            07/09/2022   05:30 (GMT+07:00)
                        "
Thời sự,Chính trị,"Phút thư thái của Chủ tịch nước và Tổng Thư ký Liên Hợp Quốc bên nhà sàn, ao cá Bác Hồ",https://vietnamnet.vn/phut-thu-thai-cua-chu-tich-nuoc-va-tong-thu-ky-lien-hop-quoc-ben-nha-san-bac-ho-2072538.html,,"
                            21/10/2022   17:52 (GMT+07:00)
                        "
Thời sự,,Trục vớt xe đầu kéo đâm đổ lan cầu Thanh Trì rơi xuống sông Hồng,https://vietnamnet.vn/xe-dau-keo-dam-do-lan-cau-thanh-tri-roi-xuong-song-hong-duoc-truc-vot-2057202.html,Đình Hiếu,"
                            06/09/2022   20:45 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Tỷ lệ đọc thẻ ETC thất bại tại các trạm thu phí ở TP.HCM tăng nhanh,https://vietnamnet.vn/ty-le-doc-the-etc-that-bai-tai-cac-tram-thu-phi-o-tp-hcm-tang-nhanh-2057096.html,Tuấn Kiệt,"
                            06/09/2022   15:29 (GMT+07:00)
                        "
Thời sự,Chính trị,"Trình phương án tăng lương cơ sở cho cán bộ, công chức lên 1,8 triệu đồng",https://vietnamnet.vn/trinh-phuong-an-tang-luong-co-so-can-bo-cong-chuc-len-1-8-trieu-dong-2072136.html,Quang Phong,"
                            20/10/2022   16:02 (GMT+07:00)
                        "
Thời sự,Chính trị,Thủ tướng trình Quốc hội miễn nhiệm Bộ trưởng GTVT Nguyễn Văn Thể,https://vietnamnet.vn/chieu-nay-thu-tuong-trinh-quoc-hoi-mien-nhiem-bo-truong-gtvt-nguyen-van-the-2071985.html,Trần Thường,"
                            20/10/2022   11:39 (GMT+07:00)
                        "
Thời sự,Quốc hội,"Đề nghị đánh giá kỹ nguyên nhân công chức, viên chức thôi việc",https://vietnamnet.vn/de-nghi-danh-gia-ky-nguyen-nhan-cong-chuc-vien-chuc-thoi-viec-2072009.html,Thu Hằng,"
                            20/10/2022   11:54 (GMT+07:00)
                        "
Thời sự,Chính trị,"Xung đột ở Ukraine phức tạp, khó lường: Bộ Ngoại giao khuyến cáo 500 người Việt",https://vietnamnet.vn/xung-dot-o-ukraine-phuc-tap-kho-luong-bo-ngoai-giao-khuyen-cao-500-nguoi-viet-2072157.html,,"
                            20/10/2022   17:02 (GMT+07:00)
                        "
Thời sự,,"Di dời các ga Hà Nội, Giáp Bát, nhường đất cho công trình nào?",https://vietnamnet.vn/di-doi-cac-ga-ha-noi-giap-bat-nhuong-dat-cho-cong-trinh-nao-2054078.html,Vũ Điệp,"
                            28/08/2022   05:36 (GMT+07:00)
                        "
Thời sự,Chính trị,ASEAN và Trung Quốc muốn sớm có Bộ Quy tắc ứng xử ở Biển Đông,https://vietnamnet.vn/asean-va-trung-quoc-muon-som-co-bo-quy-tac-ung-xu-o-bien-dong-2072170.html,,"
                            20/10/2022   17:07 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,'Quái xế' bốc đầu xe máy chạy một bánh như trêu ngươi trên phố,https://vietnamnet.vn/quai-xe-boc-dau-xe-may-chay-mot-banh-nhu-treu-nguoi-tren-pho-2054103.html,,"
                            27/08/2022   18:02 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Sẽ thu phí tự động không dừng với ô tô ra vào sân bay,https://vietnamnet.vn/se-thu-phi-tu-dong-khong-dung-voi-o-to-ra-vao-san-bay-2054259.html,Vũ Điệp,"
                            28/08/2022   12:49 (GMT+07:00)
                        "
Thời sự,,"Gặp 'ngáo' cầm lái trên phố, tai họa rình rập với người đi đường",https://vietnamnet.vn/nhung-tai-xe-ngao-lai-xe-tren-duong-pho-2054129.html,Đình Hiếu,"
                            28/08/2022   05:38 (GMT+07:00)
                        "
